爱情	(romantic) love
安排	arrange; to plan
安全	safe; safety; secure; security
按时	on time; on schedule
按照	according to; in accordance with; in light of
百分之	percent
棒	stick; club; good; excellent
包子	steamed stuffed bun
保护	to protect; to defend
保证	to guarantee; ensure
报名	sign up; apply
抱	to hold; to hug; carry in one's arms; to cradle
抱歉	be sorry; feel apologetic; to regret
倍	(two, three, etc)-fold; times (multiplier)
本来	originally; at first
笨	stupid; foolish; silly; dumb; clumsy
比如	for example; for instance; such as
毕业	to graduate; to finish school
遍	a time; everywhere; turn; (mw for times or turns)
标准	(an official) standard; norm; criterion
表格	form (document)
表示	express; show; indicate
表演	perform; to play
表扬	to praise; commend
饼干	biscuit; cracker; cookie
并且	and; besides; moreover
博士	doctor; PhD
不得不	have to; have no choice but to; cannot but
不管	no matter (what, how, etc.); regardless of
不过	only; merely; but; however
不仅	not only; not just
部分	part; share; section
擦	to wipe; to rub; to polish
猜	to guess
材料	material
参观	to visit (a place, such as a tourist spot); inspect
餐厅	dining hall; cafeteria; restaurant
厕所	bathroom; toilet; lavatory
差不多	almost; about the same
长城	the Great Wall
长江	the Yangtze River; the Changjiang River
尝	to taste; flavor; (past tense marker)
场	courtyard; place; field; (mw for games, performances, etc.)
超过	surpass; exceed; outstrip
成功	success; to succeed
成为	become; turn into
诚实	honest; honorable
乘坐	ride; get into (a vehicle)
吃惊	be startled; be shocked; be amazed
重新	again; anew; once more
抽烟	to smoke (a cigarette, pipe, etc.)
出差	go on a business trip
出发	start out; set off
出生	be born
出现	appear; arise; emerge
厨房	kitchen
传真	fax; facsimile
窗户	window
词语	words and expressions; terms
从来	always; at all times
粗心	careless; inadvertent; negligent
存	exist; to deposit; to store
错误	error; mistake; mistaken
答案	answer; solution
打扮	dress up; put on make up
打扰	disturb
打印	to print
打招呼	notify; greet; inform
打折	sell at a discount
打针	inject; get a shot
大概	probably; roughly; approximate
大使馆	embassy
大约	approximately; about
大夫	doctor; physician
戴	put on; to wear; to respect
当	should; act as; work as; manage; match; (sound of bells)
当时	then; at that time; while
刀	knife; blade (Kangxi radical 18)
导游	tour guide
到处	everywhere; in all places; all over
到底	after all; in the end (used in a question)
倒	to collapse; to fall; fail; to exchange | to pour; contrary to expectations
道歉	apologize; make an apology
得意	proud of oneself; complacent
得	(complement particle)
登机牌	boarding pass
等	to wait; rank; equal; etc.
低	low; to lower (one's head); droop
底	bottom; background; base
地点	place; site; location
地球	the Earth; planet
地址	address
调查	investigate; survey; inquiry
掉	to drop; to fall
丢	lose (something); throw; put aside
动作	movement; motion; action
堵车	traffic jam
肚子	belly; abdomen; stomach
短信	text message; SMS
对话	dialogue; conversation
对面	opposite; across from; the other side
对于	regarding; as far as sth. is concerned; with regards to; for
儿童	child; children
而	and; but; yet; while (Kangxi radical 126)
发生	happen; occur; take place
发展	develop; development; growth
法律	law; statute
翻译	translate; translation; interpret
烦恼	worried; vexed
反对	oppose; fight against
方法	method; way; means
方面	aspect; field; side
方向	direction; orientation
房东	landlord
放弃	abandon; renounce; give up
放暑假	have summer vacation
放松	relax; loosen; slacken
份	part; portion; (mw for documents, papers, jobs, etc.)
丰富	rich; enrich; abundant; plentiful
否则	if not; otherwise; or else
符合	in keeping with; in accordance with; conform
父亲	father
付款	to pay
负责	responsible for (something); in charge of
复印	photocopy; duplicate
复杂	complicated; complex
富	wealthy
改变	to change; alter; to transform
干杯	to drink a toast; cheers!; bottoms up!
赶	catch up; overtake; drive away
敢	to dare
感动	be moved; to touch emotionally
感觉	to feel; become aware of; feeling
感情	feeling; emotion; sensation
感谢	thank; be grateful
干	to concern; shield; dry; clean (Kangxi radical 51)
刚	just (indicating the immediate past); recently; firm
高速公路	highway
胳膊	arm
各	each; every
工资	wages; pay; earnings; salary
公里	kilometer
功夫	kung fu; skill; art; labor
共同	together; common; joint
购物	go shopping; buy goods
够	enough; to reach
估计	appraise; estimate
鼓励	encourage; inspire
故意	deliberately; intentional; on purpose
顾客	customer; client
挂	hang; put up; suspend
关键	crucial; key; pivotal
观众	spectator; audience
管理	supervise; manage
光	light; ray; bright; only; merely; used up
广播	broadcast; on the air
广告	advertisement; a commercial
逛	to stroll; to visit; go window shopping
规定	regulation; stipulate; fix; set
国籍	nationality
国际	international
果汁	fruit juice
过程	course of events; process
海洋	ocean
害羞	blush; shy
寒假	winter vacation
汗	sweat; perspiration; Khan
航班	scheduled flight; flight number
好处	benefit; advantage
好像	as if; seem to be
号码	number
合格	qualified; up to standard
合适	suitable; proper; appropriate
盒子	box
后悔	to regret; repent
厚	thick (for flat things); generous
互联网	Internet
互相	mutually; with each other
护士	nurse
怀疑	doubt; to suspect; be skeptical
回忆	to recall; recollect
活动	activity; exercise; move about
活泼	lively; vivacious
火	fire (Kangxi radical 86)
获得	obtain; acquire; to gain
积极	active; positive; energetic
积累	accumulate; accumulation
基础	base; foundation
激动	excite; agitate
及时	timely; in time; promptly; without delay
即使	even if; even though
计划	plan; project
记者	reporter; journalist
技术	technology; technique; skill
既然	since; given that; now that
继续	to continue; to go on; to proceed
寄	send by mail
加班	work overtime
加油站	gas station
家具	furniture
假	fake; if; borrow | vacation; holiday
价格	price
坚持	persist in; persevere
减肥	go on a diet; lose weight
减少	reduce; to decrease
建议	to propose; to suggest; recommend
将来	the future
奖金	bonus
降低	reduce; to lower; to drop
降落	descend; to land; put down
交	deliver; turn over; intersect; to pay (money); friendship
交流	communicate; exchange; give and take; interaction; to alternate
交通	traffic; transportation
郊区	suburbs; outskirts
骄傲	proud; arrogant; conceited; take pride in
饺子	dumpling; potsticker
教授	professor; instruct; to lecture
教育	education
接受	accept; receive (honors, etc.)
接着	continue; carry on; to catch; follow
节	section; part; festival; moral integrity; save; (mw for class periods)
节约	frugal; to save
结果	result; outcome; finally
解释	to explain
尽管	despite; although; even though | freely; without hesitation
紧张	nervous; tension; strain
进行	carry on; carry out; undertake
禁止	to ban; prohibit
京剧	Beijing Opera
经济	economy; economic
经历	undergo; to experience
经验	experience
